fault_code,severity,system,component,description,machine_model,possible_causes,diagnostic_steps,estimated_repair_hrs,required_parts,tech_level
E101-3,Critical,Engine,Fuel Injector #3,Fuel injector #3 failed open causing cylinder misfire,Cat 320,Injector solenoid failure; Contaminated fuel; Wiring harness damage; ECM driver fault,1. Check injector resistance; 2. Inspect fuel quality sample; 3. Verify ECM output signal; 4. Check wiring harness continuity,3.5,238-4201,3
E102-1,Warning,Engine,Fuel Injector #5,Fuel injector #5 intermittent delivery below threshold,Cat 330,Clogged injector nozzle; Low fuel pressure; Injector calibration drift,1. Run injector cut-out test; 2. Check fuel rail pressure; 3. Inspect injector nozzle; 4. Recalibrate injector trim,2.0,"238-4201,457-2318",2
E201-2,Critical,Engine,Turbocharger,Turbocharger overboosting above 38 psi limit,Cat 349,Wastegate actuator stuck closed; Boost sensor fault; Turbo bearing wear,1. Check wastegate actuator movement; 2. Verify boost pressure sensor reading; 3. Inspect turbo shaft play; 4. Check exhaust backpressure,4.0,"312-0841,191-5729",3
E202-1,Warning,Engine,Turbocharger,Turbocharger underboost detected during loaded operation,Cat 336,Exhaust leak pre-turbo; Wastegate stuck open; Air intake restriction; Turbo wheel damage,1. Inspect exhaust manifold gaskets; 2. Test wastegate actuator; 3. Check air filter restriction; 4. Inspect compressor wheel,3.0,312-0841,2
E301-1,Warning,Engine,Coolant System,Engine coolant temperature exceeding 210F threshold,Cat 950M,Thermostat stuck closed; Radiator blockage; Water pump impeller wear; Low coolant level,1. Check coolant level; 2. Test thermostat operation; 3. Inspect radiator fins; 4. Check water pump flow rate; 5. Verify fan clutch operation,2.5,"174-6862,220-3091",2
E302-3,Critical,Engine,Coolant Temperature Sensor,Coolant temperature sensor reading erratic causing derate,Cat D6,Sensor internal short; Corroded connector; ECM input circuit fault,1. Check sensor resistance vs temperature; 2. Inspect connector pins; 3. Verify ECM input voltage; 4. Swap with known good sensor,1.0,266-8130,2
E401-2,Warning,Engine,Oil Pressure Sensor,Engine oil pressure reading below 25 psi at operating temp,Cat 966,Oil level low; Oil pump wear; Pressure relief valve stuck; Worn main bearings,1. Verify oil level on dipstick; 2. Install mechanical gauge to cross-check; 3. Check oil pump relief valve; 4. Sample oil for metal content,1.5,"220-3091,389-1985",2
E402-1,Critical,Engine,Oil Pump,Engine oil pressure critically low under load causing shutdown,Cat D8,Oil pump gear failure; Oil pickup tube obstruction; Crankshaft bearing failure,1. Check oil level immediately; 2. Install mechanical pressure gauge; 3. Drop oil pan and inspect pickup screen; 4. Check pump drive gear; 5. Analyze oil sample,6.0,"389-1985,457-2318,174-6862",3
E501-1,Warning,Engine,Diesel Particulate Filter,DPF regeneration incomplete after three consecutive attempts,Cat 330,Excessive soot loading; DPF outlet temp sensor fault; Dosing valve malfunction; Frequent short duty cycles,1. Check DPF soot load percentage via ET; 2. Verify exhaust temp sensors; 3. Inspect diesel dosing valve; 4. Force manual regen and monitor,2.0,"515-2380,341-7601",2
E502-2,Warning,Engine,Diesel Oxidation Catalyst,DOC inlet temperature not reaching regen threshold,Cat 336,DOC substrate deterioration; Inlet temp sensor drift; Fuel dosing insufficient; Exhaust leak before DOC,1. Verify DOC inlet/outlet temp readings; 2. Check fuel dosing injector; 3. Inspect DOC substrate visually; 4. Check for exhaust leaks,3.0,341-7601,3
E601-1,Info,Engine,Crankcase Pressure Sensor,Crankcase pressure slightly above normal range,Cat 320,Worn piston rings; Clogged crankcase breather; Turbo seal leak,1. Check crankcase breather for blockage; 2. Perform blowby measurement; 3. Inspect turbo oil seals; 4. Run compression test,1.5,266-8130,2
E602-2,Warning,Engine,Crankcase Breather,Crankcase ventilation system restricted causing elevated pressure,Cat 745,Breather element clogged; Breather valve stuck; Oil separator failure,1. Inspect breather element; 2. Check breather valve function; 3. Measure crankcase pressure; 4. Replace breather assembly,1.0,423-5618,1
H101-1,Warning,Hydraulic,Main Hydraulic Pump,Main hydraulic pump output pressure 15% below specification,Cat 320,Pump swashplate wear; Control valve spool sticking; Pump compensator out of adjustment; Internal leakage,1. Perform pump flow test; 2. Check compensator setting; 3. Monitor pump case drain flow; 4. Check control valve spool,4.5,"287-9410,198-3624",3
H102-2,Critical,Hydraulic,Main Hydraulic Pump,Main hydraulic pump catastrophic pressure loss,Cat 349,Pump shaft shear; Swashplate bearing failure; Drive coupling failure,1. Check pump drive coupling; 2. Measure pump case drain flow; 3. Inspect pump for metal debris; 4. Check hydraulic oil sample,7.0,"287-9410,198-3624,512-4073",3
H201-1,Warning,Hydraulic,Boom Cylinder,Boom cylinder drifting down more than 50mm in 5 minutes,Cat 325,Cylinder piston seal worn; Holding valve leaking; Control valve spool leaking,1. Perform cylinder drift test with load; 2. Check holding valve; 3. Isolate cylinder from valve and retest; 4. Inspect piston seals,3.5,"198-3624,415-0267",2
H202-3,Info,Hydraulic,Stick Cylinder,Minor stick cylinder rod seal weeping at full extension,Cat 330,Rod seal wear; Rod surface scratch; Cylinder tube scoring,1. Clean rod and inspect surface; 2. Check for rod scoring; 3. Monitor leak rate over shift; 4. Schedule seal replacement,2.5,415-0267,1
H301-2,Warning,Hydraulic,Main Control Valve,Hydraulic main control valve response sluggish on boom circuit,Cat 336,Spool sticking from contamination; Solenoid weak; Pilot pressure low; Spring fatigue,1. Check pilot pressure at valve; 2. Test solenoid resistance; 3. Inspect spool for scoring; 4. Check hydraulic oil cleanliness,3.0,"512-4073,370-6218",3
H302-1,Info,Hydraulic,Pilot Control Valve,Pilot joystick control slightly inconsistent in fine mode,Cat 320,Pilot valve wear; Joystick linkage play; Pilot filter partially clogged,1. Check pilot pressure output range; 2. Inspect joystick linkage; 3. Replace pilot filter; 4. Recalibrate joystick,1.5,370-6218,2
H401-1,Warning,Hydraulic,Hydraulic Oil Cooler,Hydraulic oil temperature exceeding 200F during sustained operation,Cat 349,Oil cooler fins blocked; Cooling fan malfunction; Oil viscosity incorrect; Internal bypass valve stuck,1. Clean oil cooler fins; 2. Verify cooling fan operation; 3. Check oil viscosity grade; 4. Test bypass valve; 5. Check ambient temp conditions,2.0,"289-7845,512-4073",2
H402-2,Critical,Hydraulic,Hydraulic Oil Temperature Sensor,Hydraulic oil temperature critically high triggering auto-shutdown,Cat 745,Cooler failure; Fan drive failure; System relief valve cracking; Excessive internal leakage,1. Check cooler airflow immediately; 2. Verify fan drive operation; 3. Measure system relief valve setting; 4. Check pump case drain temps,1.5,289-7845,2
H501-1,Warning,Hydraulic,Hydraulic Pressure Relief Valve,System pressure spikes above relief valve setting intermittently,Cat 950M,Relief valve contamination; Valve spring fatigue; Shock loading from operation,1. Test relief valve cracking pressure; 2. Inspect valve seat; 3. Check for operator-induced shock loads; 4. Replace relief valve cartridge,1.5,370-6218,2
H601-2,Info,Hydraulic,Hydraulic Return Filter,Hydraulic return filter bypass indicator showing near-limit,Cat 325,Filter element approaching capacity; Oil contamination elevated; Extended service interval,1. Check filter bypass indicator; 2. Sample hydraulic oil; 3. Replace filter element; 4. Note contaminant type if visible,0.5,463-9127,1
EL101-1,Warning,Electrical,Main Battery Bank,Battery voltage dropping below 23V during cranking,Cat D8,Battery cell degradation; Loose battery cable; Excessive parasitic draw; Alternator undercharging,1. Load test each battery; 2. Check cable connections and torque; 3. Measure parasitic draw with machine off; 4. Test alternator output,1.5,"517-4926,304-1588",1
EL102-2,Info,Electrical,Battery Disconnect Switch,Battery disconnect switch showing intermittent high resistance,Cat D6,Switch contact corrosion; Loose mounting; Internal spring fatigue,1. Clean switch contacts; 2. Measure contact resistance; 3. Check mounting bolts; 4. Cycle switch several times,0.5,517-4926,1
EL201-1,Warning,Electrical,Main Alternator,Alternator output below 26V at 1500 RPM loaded,Cat 966,Voltage regulator fault; Worn brushes; Rotor winding fault; Belt slipping,1. Check belt tension and condition; 2. Measure output voltage at alternator; 3. Check regulator; 4. Inspect brushes; 5. Test rotor winding resistance,2.5,"304-1588,248-3831",2
EL202-3,Critical,Electrical,Main Alternator,Alternator not charging causing system voltage collapse,Cat 745,Belt broken; Alternator bearing seized; Complete regulator failure; Wiring open circuit,1. Inspect drive belt immediately; 2. Check alternator for free rotation; 3. Test output at B+ terminal; 4. Check exciter circuit,3.0,"304-1588,248-3831",2
EL301-1,Warning,Electrical,Engine Control Module,ECM reporting intermittent communication fault on J1939 data link,Cat 330,ECM connector corrosion; CAN bus termination missing; Wiring chafe; ECM internal fault,1. Check ECM connector pins; 2. Verify CAN bus termination resistance; 3. Inspect J1939 wiring for chafing; 4. Monitor data link with Cat ET; 5. Try backup ECM if available,2.0,"362-5498,189-4051",3
EL302-2,Critical,Electrical,Engine Control Module,ECM primary processor fault causing engine derate to limp mode,Cat 349,ECM internal failure; Power supply voltage spike; Software corruption; Connector water intrusion,1. Check ECM power supply voltage; 2. Inspect connectors for moisture; 3. Attempt ECM flash reprogram; 4. Check all ECM ground circuits; 5. Replace ECM if reflash fails,3.5,362-5498,3
EL401-1,Info,Electrical,Coolant Level Sensor,Coolant level sensor reading intermittently low with full reservoir,Cat 320,Sensor probe fouled; Connector corroded; Coolant conductivity low,1. Inspect sensor probe for scale buildup; 2. Check connector pins; 3. Test coolant conductivity; 4. Clean or replace sensor,0.5,266-8130,1
EL402-2,Warning,Electrical,Hydraulic Oil Temperature Sensor,Hydraulic oil temp sensor offset reading 15F high vs actual,Cat 325,Sensor calibration drift; Connector resistance; Wiring splice resistance,1. Compare sensor reading to infrared thermometer; 2. Check connector pins; 3. Measure sensor resistance vs temp chart; 4. Replace sensor,1.0,289-7845,1
EL501-1,Warning,Electrical,Main Wiring Harness,Intermittent open circuit on engine harness causing random fault codes,Cat D6,Harness chafe at routing clamp; Connector back-out; Pin corrosion; Heat damage near exhaust,1. Perform wiggle test while monitoring Cat ET; 2. Inspect harness routing clamps; 3. Check connectors for backed-out pins; 4. Inspect harness near exhaust shields; 5. Repair or replace harness section,4.0,189-4051,2
EL502-3,Info,Electrical,Cab Wiring Harness,Cab dome light circuit intermittent due to connector vibration,Cat 950M,Connector pin fatigue; Bulb socket corrosion; Ground circuit loose,1. Check bulb and socket; 2. Inspect connector at cab harness junction; 3. Verify ground circuit; 4. Repair connector,0.5,189-4051,1
EL601-2,Warning,Electrical,Starter Motor,Starter motor engaging slowly with audible solenoid chatter,Cat D8,Starter solenoid contacts worn; Battery voltage low during crank; Starter ground cable resistance; Ring gear damage,1. Check battery voltage during cranking; 2. Test starter solenoid pull-in voltage; 3. Inspect starter ground path; 4. Check ring gear teeth,2.0,"517-4926,248-3831,304-1588",2
EL602-1,Info,Electrical,Starter Relay,Starter relay clicking but not engaging starter motor,Cat 966,Relay contact wear; Control circuit voltage drop; Key switch fault,1. Bypass relay to test starter; 2. Measure relay coil voltage; 3. Check key switch circuit; 4. Replace relay,0.5,248-3831,1
T101-1,Warning,Transmission,Forward Clutch Pack,Forward clutch slipping under load in 2nd gear,Cat 745,Clutch disc wear; Low clutch pressure; Solenoid valve restriction; Clutch piston seal leak,1. Perform clutch pressure test; 2. Check transmission oil level; 3. Monitor clutch slip percentage in Cat ET; 4. Inspect solenoid valve; 5. Plan clutch pack inspection,5.0,"421-7390,338-2156",3
T102-2,Critical,Transmission,Reverse Clutch Pack,Reverse clutch not engaging causing no reverse movement,Cat 966,Clutch piston seal failure; Solenoid stuck closed; Clutch plates welded; Low system pressure,1. Check transmission system pressure; 2. Test reverse solenoid activation; 3. Perform stall test; 4. Inspect clutch assembly,6.5,"421-7390,338-2156,475-1290",3
T201-1,Warning,Transmission,Torque Converter,Torque converter stall speed 200 RPM above specification,Cat 950M,Torque converter one-way clutch slipping; Stator damage; Fluid contamination,1. Perform stall speed test both directions; 2. Check transmission fluid condition; 3. Monitor converter outlet temp; 4. Compare to baseline stall speed,4.0,"475-1290,338-2156",3
T202-3,Info,Transmission,Torque Converter Lockup Clutch,Torque converter lockup clutch engaging with slight shudder,Cat 745,Lockup clutch facing glazed; Solenoid modulation issue; Fluid degradation,1. Check transmission fluid quality; 2. Monitor lockup solenoid modulation via Cat ET; 3. Check converter outlet temperature; 4. Perform lockup apply test,2.0,475-1290,2
T301-2,Warning,Transmission,Shift Solenoid A,Transmission shift solenoid A response time out of specification,Cat 966,Solenoid coil degradation; Valve spool contamination; Wiring resistance high,1. Test solenoid resistance; 2. Check solenoid connector; 3. Activate solenoid with Cat ET; 4. Inspect valve bore,1.5,"338-2156,506-8237",2
T302-1,Info,Transmission,Shift Solenoid C,Shift solenoid C showing marginal current draw during 3-4 upshift,Cat 950M,Solenoid coil resistance drift; Connector pin corrosion; ECM driver marginal,1. Measure solenoid current with clamp meter; 2. Check connector condition; 3. Compare to adjacent solenoid readings; 4. Monitor shift quality,1.0,506-8237,2
T401-1,Warning,Transmission,Transmission Oil Cooler,Transmission oil temperature approaching high limit during grade operation,Cat D6,Cooler restriction; Fan speed insufficient; Oil level low; Excessive clutch slip,1. Check transmission oil level; 2. Clean cooler fins; 3. Verify fan operation; 4. Monitor clutch slip rates; 5. Check cooler bypass valve,2.0,"289-7845,338-2156",2
T402-2,Critical,Transmission,Transmission Temperature Sensor,Transmission temperature reading erratic causing unexpected derates,Cat 745,Sensor failure; Connector water ingress; Wiring damage; ECM input fault,1. Compare sensor reading to infrared measurement; 2. Inspect connector for moisture; 3. Test sensor resistance curve; 4. Check wiring to ECM,1.0,266-8130,2
T501-1,Warning,Transmission,Transmission Oil Pressure Regulator,Transmission system pressure 10% below specification,Cat 966,Pressure regulator wear; Oil pump wear; Internal leakage; Clogged suction screen,1. Perform system pressure test; 2. Check oil level and condition; 3. Inspect suction screen; 4. Test pressure regulator valve; 5. Check pump output,3.5,"421-7390,506-8237",3
T502-3,Info,Transmission,Transmission Oil Filter,Transmission oil filter differential pressure approaching bypass,Cat D6,Filter element loading; Fluid contamination; Extended service interval,1. Check filter indicator; 2. Sample transmission oil; 3. Replace filter element; 4. Inspect old element for debris type,0.5,463-9127,1
E701-1,Info,Engine,Air Intake Temperature Sensor,Intake air temperature sensor reading 10F offset from ambient,Cat 325,Sensor calibration drift; Heat soak from engine; Connector resistance,1. Compare to ambient thermometer; 2. Inspect sensor location for heat sources; 3. Check connector; 4. Replace sensor if offset confirmed,0.5,266-8130,1
E702-2,Warning,Engine,Exhaust Gas Recirculation Valve,EGR valve position not matching commanded position,Cat 336,EGR valve carbon buildup; Actuator failure; Position sensor fault; Wiring issue,1. Command EGR open/close via Cat ET; 2. Inspect valve for carbon deposits; 3. Check actuator operation; 4. Verify position sensor signal; 5. Clean or replace valve,2.5,"515-2380,423-5618",2
H701-1,Info,Hydraulic,Swing Motor,Swing motor case drain flow slightly above normal,Cat 320,Internal wear on motor gerotor; High hydraulic oil temperature; Contaminated oil,1. Measure case drain flow at operating temp; 2. Compare to service limit; 3. Check oil temp; 4. Sample hydraulic oil,1.0,287-9410,2
EL701-1,Warning,Electrical,Fuel Level Sensor,Fuel level sensor reading erratically causing low fuel warning at half tank,Cat D8,Sensor float arm bent; Rheostat worn; Connector corrosion; Tank baffle interference,1. Visually check fuel level; 2. Monitor sensor output voltage sweep; 3. Inspect tank sender unit; 4. Check wiring and connector,1.5,362-5498,1
T601-1,Warning,Transmission,Transfer Case,Transfer case output bearing noise increasing under load,Cat 745,Bearing wear; Low lubricant level; Contaminated lubricant; Misalignment,1. Listen for bearing noise pattern; 2. Check transfer case fluid level; 3. Sample fluid for metal content; 4. Inspect for external leaks; 5. Schedule teardown if confirmed,4.5,"421-7390,475-1290",3
E801-2,Info,Engine,Engine Speed Sensor,Engine speed sensor signal showing occasional dropout at low RPM,Cat 325,Sensor air gap excessive; Tone wheel damage; Sensor cable chafe; ECM input marginal,1. Check sensor air gap to tone wheel; 2. Inspect tone wheel teeth; 3. Check sensor cable routing; 4. Monitor signal with oscilloscope,1.0,266-8130,2
