incident_id,date,site,machine_model,incident_type,severity,description,root_cause,corrective_action,injuries,lost_work_days
INC-2025-001,2025-06-03,Phoenix I-17 Highway Expansion,Cat 320,Near Miss - Swing Radius,Medium,Excavator swing came within 3 ft of ground worker who entered exclusion zone without authorization,Ground worker bypassed barricades; spotter was on break,Retrained crew on exclusion zones; added second spotter; installed swing radius alarm,0,0
INC-2025-002,2025-06-15,Denver RTD Rail Extension,Cat D6,Rollover on slope,Critical,Dozer rolled onto side while grading a 40% slope after rain; operator wore seatbelt and was uninjured,Slope exceeded safe operating angle; wet soil reduced traction,Implemented mandatory slope measurement before grading; restricted operation after rainfall,0,0
INC-2025-003,2025-06-22,Houston Ship Channel Dredge,Cat 745,Struck-by falling material,High,Rock fell from haul truck bed onto ground worker standing near tailgate during loading,Worker positioned in drop zone; no exclusion zone enforced at load point,Established 50-ft exclusion zone during loading; installed load-area cameras,1,5
INC-2025-004,2025-07-01,Phoenix I-17 Highway Expansion,Cat 140M,Struck-by passing traffic,High,Mirror on grader struck by passing semi-truck that entered work zone; operator uninjured,Inadequate traffic control setup; no barrier between lane and equipment,Added concrete barriers to TCP; repositioned arrow board; filed DOT complaint,0,0
INC-2025-005,2025-07-10,Atlanta Beltline Tunnel,Cat 330,Contact with overhead power line,Critical,Boom contacted 13.8 kV distribution line during trench excavation; no injuries due to proper grounding,Utility locate was 3 days old and line had been rerouted; no spotter assigned,Mandatory same-day utility verify; assigned dedicated spotter for overhead hazards,0,0
INC-2025-006,2025-07-18,Seattle SR 520 Bridge,Cat 336,Ground worker in blind spot,High,Excavator tracked over area where worker had been standing moments before; worker moved just in time,Proximity detection system was disabled for maintenance and not reactivated,Implemented lockout procedure requiring supervisor sign-off to disable PDS,0,0
INC-2025-007,2025-07-25,Denver RTD Rail Extension,Cat 950M,Struck-by during loading,Medium,Loader bucket dropped partial load on haul truck cab during loading; cracked windshield,Worn bucket pin allowed excessive play causing spillage,Added bucket pin inspection to daily pre-op checklist; replaced worn pins fleet-wide,0,0
INC-2025-008,2025-08-02,Phoenix I-17 Highway Expansion,Cat CS56B,Noise exposure exceeding 85 dBA,Low,Noise monitoring revealed compactor operator exposed to 93 dBA over 10-hr shift,Cab door seal deteriorated; operator kept window open due to broken A/C,Repaired A/C and door seal; issued dual hearing protection; reduced shift to 8 hrs,0,0
INC-2025-009,2025-08-14,Houston Ship Channel Dredge,Cat 320,Near Miss - Swing Radius,Medium,Excavator swung into parked pickup truck that was inside exclusion zone,Vehicle parked in exclusion zone overnight; not spotted during morning walk-around,Implemented dawn perimeter sweep; added physical barriers with reflective markers,0,0
INC-2025-010,2025-08-20,Atlanta Beltline Tunnel,Cat MD6250,Dust inhalation from drilling,High,Three workers reported coughing and eye irritation from silica dust during rock drilling,Dust collector filter was clogged; water injection pump had failed the previous day,Replaced dust collector; repaired water pump; implemented daily dust monitoring,0,0
INC-2025-011,2025-09-05,Seattle SR 520 Bridge,Cat 745,Rollover during haul,Critical,Articulated truck rolled onto side on haul road curve; operator sustained minor bruise,Berm had eroded from rain; speed was excessive for curve radius,Rebuilt berms to 150% tire height; posted speed limits; installed curve warning signs,1,3
INC-2025-012,2025-09-12,Denver RTD Rail Extension,Cat 325,Caught-between tracks and structures,High,Worker's foot caught between track and concrete wall while guiding excavator; boot crushed,Inadequate clearance assessment; worker was directing from too close,Minimum 15-ft clearance rule enforced; installed wireless communication for spotters,1,12
INC-2025-013,2025-09-19,Phoenix I-17 Highway Expansion,Cat 950M,Hydraulic line burst,Medium,Hydraulic line burst on loader spraying 3000-psi fluid; operator shut down within 10 seconds,Hose exceeded service life; no replacement schedule in place,Implemented hose replacement schedule per Cat SIS recommendations; added hose guards,0,0
INC-2025-014,2025-09-28,Houston Ship Channel Dredge,Cat D8,Dust inhalation during grading,Low,Operator reported headache after 6-hr shift grading dry fill without dust suppression,Water truck was assigned to another area; no backup dust control available,Required dedicated water truck per active grading zone; added air quality monitors,0,0
INC-2025-015,2025-10-05,Atlanta Beltline Tunnel,Cat 336,Equipment fire,Critical,Hydraulic oil ignited on hot exhaust manifold after hose fitting failure; fire suppression activated,Loose fitting from recent maintenance; post-service inspection not completed,Implemented mandatory post-maintenance leak check at operating temperature,0,0
INC-2025-016,2025-10-15,Seattle SR 520 Bridge,Cat 140M,Rollover during ditch work,High,Motor grader slid into ditch while grading shoulder; operator stayed belted in cab,Soft shoulder gave way under rear tandems; no soil assessment done,Required geotechnical assessment for shoulder work; reduced operating speed near edges,0,0
INC-2025-017,2025-10-22,Denver RTD Rail Extension,Cat 320,Struck-by falling material,Medium,Small concrete chunk fell from bridge deck onto excavator cab during demolition below,Demolition sequencing error; material fell before containment installed,Revised demolition plan to install catch platforms first; added cab protection screen,0,0
INC-2025-018,2025-11-03,Phoenix I-17 Highway Expansion,Cat 745,Struck-by at dump point,High,Haul truck backed over edge of dump point berm; rear wheels went over edge,Berm was inadequate height; no spotter at dump point; night shift with poor lighting,Rebuilt berms; required spotter at all dump points; installed additional lighting,0,0
INC-2025-019,2025-11-10,Houston Ship Channel Dredge,Cat MD6250,Struck-by flying rock,Critical,Rock fragment ejected during drilling struck worker 80 ft away; hard hat deflected impact,Fractured rock formation not identified; exclusion zone was only 50 ft,Expanded exclusion zone to 150 ft; required geologic survey before drilling,1,2
INC-2025-020,2025-11-20,Atlanta Beltline Tunnel,Cat 950M,Rollover from uneven terrain,Medium,Loader tipped forward into excavation when edge collapsed under front tires,Edge of excavation not barricaded; loader approached too close,Installed barriers 6 ft from excavation edge; assigned spotter for work near excavations,0,0
INC-2025-021,2025-12-01,Seattle SR 520 Bridge,Cat CS56B,Whole-body vibration exposure,Low,Operator reported lower back pain after 3 consecutive days of vibratory compaction,Seat suspension worn out; no rotation schedule for vibration-intensive work,Replaced seat; implemented 4-hr max continuous operation with mandatory rotation,0,0
INC-2025-022,2025-12-12,Denver RTD Rail Extension,Cat 330,Near Miss - Swing Radius,High,Excavator boom nearly struck surveyor who walked behind machine during grading,Surveyor not trained on exclusion zones; no perimeter flagging in place,Added excavator awareness to surveyor orientation; installed perimeter flagging,0,0
INC-2025-023,2026-01-08,Phoenix I-17 Highway Expansion,Cat D6,Struck-by during clearing operations,Medium,Tree limb fell onto dozer cab during land clearing; no injury due to FOPS,Dead tree not identified in pre-clear survey; limb broke during adjacent push,Implemented certified arborist survey for clearing operations; upgraded FOPS rating,0,0
INC-2025-024,2026-01-15,Houston Ship Channel Dredge,Cat 745,Collision at intersection,Medium,Two haul trucks had minor collision at blind intersection; mirrors damaged,Radio communication failure; no stop signs at intersection,Installed stop signs and mirrors at all haul road intersections; repaired radios,0,0
INC-2025-025,2026-01-28,Atlanta Beltline Tunnel,Cat 320,Ground worker in blind spot,High,Excavator bucket descended toward worker in trench who was not visible on camera,Camera was mud-covered; no trench spotter assigned,Added camera cleaning to pre-op; required dedicated trench spotter; installed audible alarm,0,0
INC-2025-026,2026-02-05,Seattle SR 520 Bridge,Cat 336,Near Miss - Swing Radius,Medium,Counterweight passed within 2 ft of concrete barrier with workers on other side,Operator misjudged swing clearance; barrier was closer than usual due to lane shift,Recalculated swing clearances after every traffic shift; added proximity sensors,0,0
INC-2025-027,2026-02-18,Denver RTD Rail Extension,Cat MD6250,Falling from mast during maintenance,High,Technician's fall arrest lanyard caught him after slipping on icy mast platform,Ice not cleared from platform before climbing; no pre-climb inspection,Required pre-climb surface inspection; added anti-slip coating to all mast platforms,0,0
INC-2025-028,2026-02-25,Phoenix I-17 Highway Expansion,Cat 950M,Struck-by during loading,High,Loader bucket caught edge of haul truck bed during loading causing truck to lurch sideways,Operator fatigue during overtime shift; misjudged bucket position,Implemented mandatory fatigue management for overtime; added bucket-to-bed cameras,0,0
INC-2025-029,2026-03-03,Houston Ship Channel Dredge,Cat 330,Contact with overhead power line,Critical,Excavator boom arced to overhead line during channel bank work; operator stayed in cab per training,New temporary power line installed overnight without notifying excavation crew,Required 24-hr advance notice for any utility changes; daily utility verification walk,0,0
INC-2025-030,2026-03-10,Atlanta Beltline Tunnel,Cat D8,Equipment fire,High,Dozer engine compartment fire caused by accumulated debris on exhaust; fire suppression activated,Debris buildup from tunnel demolition; cleaning schedule not followed,Daily engine compartment blowdown required; weekly deep cleaning in demolition zones,0,0
